10001,p001,04-12-2023,1,45990
10002,p004,12-01-2024,2,100000
10003,p007,14-02-2024,3,150000
10004,p010,23-03-2024,3,90000
10005,p006,13-04-2024,2,100000
10006,p005,12-05-2024,4,139960
10007,p003,14-05-2024,8,295920
10008,p004,13-06-2024,3,150000
10009,p002,15-06-2024,4,203976
10010,p007,04-07-2024,3,150000
10011,p009,07-07-2024,6,600000
10012,p010,08-07-2024,8,240000
10013,p004,12-08-2024,3,150000
10014,p002,12-08-2024,6,305964
10015,p001,22-08-2024,4,183960
10016,p003,23-08-2024,8,295920
10017,p005,24-08-2024,4,139960
10018,p006,21-09-2024,2,100000
10019,p007,22-09-2024,3,150000
10020,p008,23-09-2024,4,280000
